Citation,Parent.Statute,Document.Description,File,Entity.Empowered,Triggering.Event,Describe.Health.Emergency,State.Trigger,Location,Military.Involvement..Federal.,Document.Type,Preliminary.Screening,Source,Chapter,Date.Originally.Published..from.File.,Date.Last.Updated..from.File.,PDF..from.File.,Note,url..from.File.,Funding.Stream.,Funding.Stream.Description,Waiver.Authority,Regulations..Relevant.Chapter..Section.or.Article,Scenarios.Matrix,Plans...Strategies
 H.R. 4367,DHS Appropriations Act,"This act allocates funding to DHS. Other agencies involved include US customs and boarder protection, FEMA, the Coast Guard, TSA, and CISA. It authorizes funding to improve emergency, threat, and disaster response.
",DHS Appropriations Act,Department of Homeland Security - Coast Guard,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building","Outbreaks and pandemics can initialize the need for funding allocated through this act to assist with personnel, supplies, etc.

",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,1/3/19,,BILLS-116hjres31enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/Zanarit5JM-Sbhx0ME-xMw/ny3uSrh6bsfVa-F-Nm1HTEgWSJcE5nPG5mC_Atnhz7fRvzFlk6MUItgBPPIBsj3Tmytspyuqa6dlxO6oP7m3sbzz0vE9TYe6spvt0d3uEv0egBDGG1n8cm-mhi_0pYOXTZHExZW3kVmoHh-ECmL58ALiHC-ThjioRbcNTh6CsW0/0ZFRGY9ppGRseOhzzYa6w014h1uAACwaSZ_EmbXPRp0),*Heather could you take a look at code number for this one?,https://www.congress.gov/116/bills/hjres31/BILLS-116hjres31enr.pdf,,,,,,NA
 H.R. 4367,DHS Appropriations Act,"This act allocates funding to DHS. Other agencies involved include US customs and boarder protection, FEMA, the Coast Guard, TSA, and CISA. It authorizes funding to improve emergency, threat, and disaster response.
",DHS Appropriations Act,Department of Homeland Security - Cybersecurity & Infrastructure Security Agency,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building","Outbreaks and pandemics can initialize the need for funding allocated through this act to assist with personnel, supplies, etc.

",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,1/3/19,,BILLS-116hjres31enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/Zanarit5JM-Sbhx0ME-xMw/ny3uSrh6bsfVa-F-Nm1HTEgWSJcE5nPG5mC_Atnhz7fRvzFlk6MUItgBPPIBsj3Tmytspyuqa6dlxO6oP7m3sbzz0vE9TYe6spvt0d3uEv0egBDGG1n8cm-mhi_0pYOXTZHExZW3kVmoHh-ECmL58ALiHC-ThjioRbcNTh6CsW0/0ZFRGY9ppGRseOhzzYa6w014h1uAACwaSZ_EmbXPRp0),*Heather could you take a look at code number for this one?,https://www.congress.gov/116/bills/hjres31/BILLS-116hjres31enr.pdf,,,,,,NA
 H.R. 4367,DHS Appropriations Act,"This act allocates funding to DHS. Other agencies involved include US customs and boarder protection, FEMA, the Coast Guard, TSA, and CISA. It authorizes funding to improve emergency, threat, and disaster response.
",DHS Appropriations Act,Department of Homeland Security - Customs and Border Protection,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building","Outbreaks and pandemics can initialize the need for funding allocated through this act to assist with personnel, supplies, etc.

",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,1/3/19,,BILLS-116hjres31enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/Zanarit5JM-Sbhx0ME-xMw/ny3uSrh6bsfVa-F-Nm1HTEgWSJcE5nPG5mC_Atnhz7fRvzFlk6MUItgBPPIBsj3Tmytspyuqa6dlxO6oP7m3sbzz0vE9TYe6spvt0d3uEv0egBDGG1n8cm-mhi_0pYOXTZHExZW3kVmoHh-ECmL58ALiHC-ThjioRbcNTh6CsW0/0ZFRGY9ppGRseOhzzYa6w014h1uAACwaSZ_EmbXPRp0),*Heather could you take a look at code number for this one?,https://www.congress.gov/116/bills/hjres31/BILLS-116hjres31enr.pdf,,,,,,NA
 H.R. 4367,DHS Appropriations Act,"This act allocates funding to DHS. Other agencies involved include US customs and boarder protection, FEMA, the Coast Guard, TSA, and CISA. It authorizes funding to improve emergency, threat, and disaster response.
",DHS Appropriations Act,Department of Homeland Security - Transportation Security Administration,"Natural Disaster,Health Emergency,Act of War,No triggering event - Capacity Building","Outbreaks and pandemics can initialize the need for funding allocated through this act to assist with personnel, supplies, etc.

",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,1/3/19,,BILLS-116hjres31enr.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/Zanarit5JM-Sbhx0ME-xMw/ny3uSrh6bsfVa-F-Nm1HTEgWSJcE5nPG5mC_Atnhz7fRvzFlk6MUItgBPPIBsj3Tmytspyuqa6dlxO6oP7m3sbzz0vE9TYe6spvt0d3uEv0egBDGG1n8cm-mhi_0pYOXTZHExZW3kVmoHh-ECmL58ALiHC-ThjioRbcNTh6CsW0/0ZFRGY9ppGRseOhzzYa6w014h1uAACwaSZ_EmbXPRp0),*Heather could you take a look at code number for this one?,https://www.congress.gov/116/bills/hjres31/BILLS-116hjres31enr.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of Agriculture,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Food and Drug Administration,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of Commerce,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of Justice,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of Defense,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of Defense - Department of the Army,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of Homeland Security,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of Homeland Security - Coast Guard,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of the Interior,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of Education,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
2 U.S.C. § 900,Bipartisan Budget Act of 2018,This act establishes the budget for government expenses. It addresses finances for various departments.,Bipartisan Budget Act of 2018,Department of Health and Human Services,No triggering event - Capacity Building,"N/A
",No,Domestic,No,Legislation,Exclude,FEMA DOLR,3,2/9/18,,PLAW-115publ123.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725645600000/qz3irUm4DFD_mDJcciPG6A/96w8WB3xFe2cbgMmoXNzM1jK30I26RxLj-D6KY-04hYReExxOOU-vZTnlvelVzTFKV1AnkBqwcAFRoXFAJ9lWiBAaO1kOiaYbVETy7UxISOA0T4RDsDU_kSkyw_SuAYF-T5khq4Y271dznhDdu-voryQLIkWsQW_0ttaxa1cdks/60r9MI91bLcfxN7rrh2FOzvDNFrJdFdcG_mC0OrKmxI),,https://www.congress.gov/115/plaws/publ123/PLAW-115publ123.pdf,,,,,,NA
